sourceId,targetId
0,340a3eabb856d7bb3b7016f7a2125e8a
0,601bc81503b84340f0fdb02f787a4db6
0,1937d4411a569cd0871485221829d33d
0,806ced692a7d436764ccc166fb5e3e86
0,db8fea15404719d1a5b0b409bcbd7dab
0,db5323f1317e07881dd2cf0ea2080262
0,eb4a37fdc48850d1eec2550fc016c6af
0,816f2d817dbec45f9aa536b45c9f6c54
0,6dc2050800bb6de6aa5e23fc19b533be
0,04f4669e65bc8f9da8b57ef7a05997cc
1,5b0527ea4c6f15f6bfdd4b7e56215700
1,a86ef1d39ffda4fc20879a08eda7c4f3
1,b30be6a21a8fcdfb06ad1e4f94187c2a
1,805f4d2102fd4afd3b48cf579d231015
1,fe7315792a5386e96567ec490a87d9b9
1,d79a5622b843e75cbffb435ecab999e6
1,6489fc08933540d6a3b52ed03d138547
1,c918179ed41c79f1081a9c6f1176d995
1,71bd3ff26ee60c3fc5d41b12e2090722
1,15760e6d04efeebd358a4a3b3d589f10
1,33937809957e607938d957c1eec15d2b
1,ae718048dd6248aac079d342a21e29ce
1,321382ff66e3e7928e9120f7c0a3822f
1,66dd6a02d7e29f3d8311a95057069a9d
1,7121f9d14d0ac46150773fb217e1778b
2,32f89778af028f7b8cc8cbcbc4d451cd
2,93847d1f7ba572e6623330a105de619c
2,c77c73c65b2b637aca84835a68d2227c
2,53f20d686d274ef13bcb19c148a706c6
2,6e2a5f0c7dfa32fbee5a801d065ce089
2,b5a2b39275c3040639318e6ddc254205
2,b5d0555e81faf535d881c3d8d5529e53
2,1c64f22c51594b3ef1a880bb81be33f4
2,a0a2b0dc3561fe1c48996029cb0d33ef
2,99dfc67e67a781e97f8fb889269b3238
2,b2ed4c852bb3504d9d8b5fb646701aba
2,8fb64ddf0bec7211460258393d441d53
2,7918399fc751ccdb455c6541015ee735
2,ec182fbe5b40256b756316ba2c04cbb5
2,8adce94ee0a433ebecf2e67dd221a83a
2,c905362166ef48e38029b0a98f294aaf
2,4557232d008bf1a50ae1fb94fecba9d7
2,d74dd9411ca3eaa0df62da06e7899914
2,85409bdbee3369bb6ecaeb5f8a59e60d
2,0e58ddaa6212564823f1bc56ed340883
