id,Key_phrases,ID,type
7f49789d5ed3c1c0fbaec93f6f11e02f,"Canon",7,"Key_phrases"
1a4f1cb369f614a15d38a5fc4a8b2882,"printer",7,"Key_phrases"
4d35974b8b18a786845c01588d003d0e,"scanner",7,"Key_phrases"
a8260fa538e98d57fe06fdb4793013c7,"cheap",7,"Key_phrases"
e779e83fb8af94587bfded8faf401800,"cheap and replaced",7,"Key_phrases"
7be15629158b8e8bd2c7f30facd1c65a,"replaced",7,"Key_phrases"
6d997aaed8b78e797702e2cf5fcb2319,"quality",7,"Key_phrases"
50952d3bde5c1efbee881e1c476e82b8,"piece",7,"Key_phrases"
1f756e721449ff0a0e38bc5ee35b0856,"photos scan",7,"Key_phrases"
6a44d2a087c7403b3f38df8a88b1fe5b,"photos",7,"Key_phrases"
e224a377f06d35efb2a6de5870957e09,"scan",7,"Key_phrases"
adfda7f6cb6a8d53af1ed9a966224705,"Slot Print Head",8,"Key_phrases"
b3f2c68372ec52e08c3f12a8be9d6abd,"Slot Print",8,"Key_phrases"
8fd8eb38cadb2be160f14c82922ce441,"Print Head",8,"Key_phrases"
b46185c037c8ffbe42817c8efc9f12cb,"Printer",8,"Key_phrases"
3df92e32f96f4fd92fed8dafc11fff1f,"Slot",8,"Key_phrases"
6b00558d1679cf771b8102a6e745450e,"Head",8,"Key_phrases"
5e7491977a2f5181067b3f52a82a9e3b,"Printhead",8,"Key_phrases"
50537e7812f5a58f10552820d57eab39,"Print",8,"Key_phrases"
676603697fc8eaab5ef70b5ed5cb9005,"photosmart",8,"Key_phrases"
de567a49cef66447130c67da0314ebf7,"Refill Ink Bottle",9,"Key_phrases"
7373ae13e944267a85cf007c5d3d2c22,"Tank Printers worry-free",9,"Key_phrases"
0bcfe1d2957a6451c720adfe2cdc7c73,"Ink Tank Printers",9,"Key_phrases"
1c5082e3505aaa05784711d9756236da,"worry-free printing makes",9,"Key_phrases"
1735a330baa8de40872d1f0008b1e221,"Refill Ink",9,"Key_phrases"
d0e8fc37bcd64b8635aec565d25a8c33,"Printers worry-free printing",9,"Key_phrases"
8ce98016fc3dc9761d7d0cd79ccf152d,"Tank Printers",9,"Key_phrases"
b613f797e5bd5d35bcfa0724c1c183ad,"Ink Bottle",9,"Key_phrases"
7a2435ee742da39906ee19a30fb99629,"Ink Tank",9,"Key_phrases"
1b8caa84efb0c8604bcaa546b911bb71,"work more efficient",9,"Key_phrases"
287358664a299848563b26dc8dee79fd,"Topjet",9,"Key_phrases"
3b35b359c5f1441675244648ca34bb82,"makes your work",9,"Key_phrases"
ace700dfcacd54329bf94e893ad26841,"Printers worry-free",9,"Key_phrases"
d2f8ad4e4fff8f7f73660356c875f52d,"Refill",9,"Key_phrases"
b428f0307ade9a03817d4e0cb662a221,"worry-free printing",9,"Key_phrases"
23e98bdeb051df0ffc2f65afc41d7eff,"printing makes",9,"Key_phrases"
df884433971f33e02a5b5135e2c0ad47,"Bottle",9,"Key_phrases"
ffe9852751bec544f551b871d5ccc4f1,"Tank",9,"Key_phrases"
57449ea84d5260d702851adc21535afc,"Ink",9,"Key_phrases"
359b326bd42cc0672a71348b7e1f2bdd,"efficient",9,"Key_phrases"
429ba5e9aa0c13be700e5d92d8e5af99,"Wireless Setup Mac",10,"Key_phrases"
4994b5629f68b1d83322518daf0199a5,"Printer Unboxing",10,"Key_phrases"
ea8ec02def890e4b8fa5abc94144830c,"Setup Mac",10,"Key_phrases"
a390976ed27e7092355910beecef425c,"Unboxing and Wireless",10,"Key_phrases"
66f55016a2037925c872743ce7567861,"Wireless Setup",10,"Key_phrases"
ccdf99aa4cb0266cf2bb6712358bbcb2,"iOS",10,"Key_phrases"
4a0f8752b96a79bede59642c24fec38d,"YouTube",10,"Key_phrases"
189d6f3f645d380653dd9eceb0e66240,"Envy",10,"Key_phrases"
d75c6d1283b2cc4ffad6e29ba0f5b65c,"Printer",10,"Key_phrases"
e7279b9e842108d363657f9a6daaf0da,"Mac",10,"Key_phrases"
c2381a68cab89b493fc276ae4a07c507,"Unboxing",10,"Key_phrases"
e53bd8e43b66f83017bdb766df70f1fc,"Wireless",10,"Key_phrases"
23cd77d49018008296c0a2171146a22f,"Setup",10,"Key_phrases"
fe6077e56ee79b2f39abba295d32965c,"LaserJet Toner Cartridge",11,"Key_phrases"
7459c76d6d6693a60b10c54fb9fcf4b6,"Black LaserJet Toner",11,"Key_phrases"
c35d2ed1a33caa8e67f28c8a83929ab8,"Toner Cartridge",11,"Key_phrases"
732f2926113304f1340ae65053cef72a,"Black LaserJet",11,"Key_phrases"
18223482dd7872d933ff0acdfb2446c8,"LaserJet Toner",11,"Key_phrases"
ca9ae38e30c9bcad0bbe5cce605f80e5,"Black",11,"Key_phrases"
8c69f3535e30a9b548ea56dca5ac7684,"Cartridge",11,"Key_phrases"
54bc2845bbc5f9a4e6ba60f27135c2eb,"Toner",11,"Key_phrases"
23110afb4f1046ffd45254b388eb637b,"Qatar",11,"Key_phrases"
2e3e2f3295da2b9fd3f3694e28ccd370,"LaserJet",11,"Key_phrases"
fb49ba7b302ed2b43f39b954d67f113e,"Free shipping",11,"Key_phrases"
a34d8649ea89ec1a45594fbe538e26e7,"Call",11,"Key_phrases"
d421ccdfb1a8c112e9ad3e58a972b736,"WhatsApp",11,"Key_phrases"
a57cdbf54b3b0457fdf8c48b24198365,"inkjet",11,"Key_phrases"
9134ad2abb1e42c4e6c01b39fd693da1,"inkcartridges",11,"Key_phrases"
b7227f1ed1402aa9015e3d99ab498747,"tonercartridges",11,"Key_phrases"
858dffa55f542dcc764e30ca15fb846d,"printers",11,"Key_phrases"
c1f962ae9ea50c395cf7b1635c28b055,"shoponline",11,"Key_phrases"
b5d9083738f93ce17879be8498cd7e4c,"Free",11,"Key_phrases"
fbbfa14f148087698c77443926a606d2,"shipping",11,"Key_phrases"
573538e424265eafa88259be3be70f93,"Replying",12,"Key_phrases"
8736a95b47dd70a29e0dfca87c589a30,"WeisiNotes",13,"Key_phrases"
a48c1891c9b9a94851c841a819496e4b,"Replying",13,"Key_phrases"
8a13b5ae1ab73843e4db657b94cc288b,"FellatrixArt",14,"Key_phrases"
b032412873e3663c7328722afe03d4a0,"Replying",14,"Key_phrases"
e8af0a7e9298b086f792a103fd391693,"AJettoJetto",14,"Key_phrases"
11189db254650fd88278f12cb030fac9,"Extra Black Ink",15,"Key_phrases"
527cb963bd313da9abde37531a186a50,"Black Ink Bottles",15,"Key_phrases"
63305dd4a8c41dca2b5e53ac63f51a81,"WiFi Colour Printer",15,"Key_phrases"
c1aa397eab827e39b710ef3f8635eb97,"Smart Tank",15,"Key_phrases"
